Time|Symbol|price|net change|size|exch|bid|bid size|bid exchange|ask|ask size|ask exchange|side|volume|open interest|open price|high price|low price|trade condition|bid exchange|ask exchange|bid prices|ask prices|bid sizes|ask sizes
00:02:22.637|SPXW240918C05755000|0.5|-1.3|1|5|0.45|3|5|0.5|90|5|100|15|0|0.6|0.65|0.5|18|5|5|0.450000|0.500000|3|90
00:02:42.690|SPXW240918P05585000|10.5|1.8|1|5|10.5|16|5|10.9|17|5|-100|9|0|10.1|10.5|10.1|18|5|5|10.500000|10.900000|16|17
00:03:11.461|SPXW240918C05735000|1.25|-2.75|1|5|1.25|69|5|1.35|95|5|-100|16|0|1.6|1.7|1.25|18|5|5|1.250000|1.350000|69|95
00:03:15.78|SPXW240918C05745000|0.75|-1.95|1|5|0.75|81|5|0.85|110|5|-100|19|0|1|1.05|0.75|18|5|5|0.750000|0.850000|81|110
00:03:20.839|SPXW240918C05675000|12.2|-9.6|2|5|12.1|13|5|12.4|1|5|-33.3335|23|0|14|14|12.2|18|5|5|12.100000|12.400000|13|1
00:04:01.672|SPXW240918P05540000|3.9|0.3|1|5|3.7|39|5|3.9|37|5|100|49|0|3.8|3.9|3.3|18|5|5|3.700000|3.900000|39|37
00:04:42.606|SPXW240918P05435000|0.35|-0.35|3|5|0.35|81|5|0.45|195|5|-100|3|0|0.35|0.35|0.35|18|5|5|0.350000|0.450000|81|195
00:05:32.871|SPXW240918C05760000|0.35|-1.15|3|5|0.3|264|5|0.4|93|5|-2.98023e-05|24|0|0.45|0.5|0.35|18|5|5|0.300000|0.400000|264|93
00:05:58.905|SPXW240918C05810000|0.05|0.05|2|5|0|0|5|0.05|2|5|100|2|0|0.05|0.05|0.05|18||5||0.050000||2
00:05:58.906|SPXW240918C05810000|0.05|0.05|2|5|0|0|5|0.1|321|5|0|4|0|0.05|0.05|0.05|18||5||0.100000||321
00:06:36.609|SPXW240918C05685000|9.4|-7.14|1|5|9.1|16|5|9.4|16|5|100|18|0|10.37|10.5|9.4|18|5|5|9.100000|9.400000|16|16
00:06:41.880|SPXW240918P05500000|1.5|0|2|5|1.35|92|5|1.5|90|5|100|28|0|1.45|1.5|1.25|18|5|5|1.350000|1.500000|92|90
00:06:41.880|SPXW240918P05500000|1.5|0|5|5|1.35|92|5|1.5|90|5|100|33|0|1.45|1.5|1.25|18|5|5|1.350000|1.500000|92|90
00:06:43.596|SPXW240918P05640000|29.4|5.7|1|5|29.2|1|5|29.7|10|5|-20.0005|16|0|28.71|29.4|28.71|18|5|5|29.200001|29.700001|1|10
00:07:30.887|SPXW240918C05650000|22.93|-13.08|30|5|22.7|9|5|23.1|1|5|14.9999|49|0|24|25.2|22.93|130|5|5|22.700001|23.100000|9|1
00:07:30.887|SPXW240918C05660000|18.28|-12.72|30|5|18.1|11|5|18.5|1|5|-9.99976|46|0|19.88|20.29|18.28|130|5|5|18.100000|18.500000|11|1
00:07:30.887|SPXW240918C05650000|22.93|-13.08|30|5|22.7|9|5|23.1|1|5|14.9999|79|0|24|25.2|22.93|130|5|5|22.700001|23.100000|9|1
00:07:30.887|SPXW240918C05660000|18.28|-12.72|30|5|18.1|11|5|18.5|1|5|-9.99976|76|0|19.88|20.29|18.28|130|5|5|18.100000|18.500000|11|1
00:07:40.862|SPXW240918C05710000|3.87|-5.44|1|5|3.8|30|5|4|1|5|-30.0001|25|0|4.52|4.55|3.7|130|5|5|3.800000|4.000000|30|1
00:07:40.862|SPXW240918C05720000|2.62|-4.18|1|5|2.5|68|5|2.7|66|5|19.9999|38|0|3.2|3.2|2.5|130|5|5|2.500000|2.700000|68|66
